url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/37i9dQZF1DXd9zR7tdziuQ,Hits acústicos,"935,145 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DZ06evO4xIneg,This Is James Vincent McMorrow,"16,607 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWZpGSuzrdTXg,Easy On Sunday,"267,295 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,Restaurant Music 2024,"66,315 saves",Cooking Music,https://open.spotify.com/user/jc415
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,276 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbsWQD03AVcA,Travailler en musique,"343,242 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWXnscMH24yOc,Chill Covers,"475,844 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSM0Vq39VM1S,Réveil en douceur,"172,024 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX6KOz8PNkOlS,Soft Office,"472,580 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3JDIjUpjyySLL8Ne0bqfkj,Détente du soir !,"8,167 saves",Benjamin Roy,https://open.spotify.com/user/benji78320
https://open.spotify.com/playlist/51qOPnQyKC8uaNbCOXuaSR,Jazz - As Melhores,"12,859 saves",Marcio Carvalho Moura,https://open.spotify.com/user/mmouracarvalho
https://open.spotify.com/playlist/5Av6VbvC17372uc3UP1GPn,Whoa-hoa-hoa-hoa-hoa season,"37,477 saves",veronikaku,https://open.spotify.com/user/veronikakuradchik
https://open.spotify.com/playlist/0QtBQxLZzKKuSunmAAIBwy,All Twilight Songs,"13,915 saves",Rosetail05,https://open.spotify.com/user/ws7zkspfuvmmxfa9aeh1vmvef
https://open.spotify.com/playlist/79a86h0CeTF1sW8vpONSw9,Twilight Saga - Complete Soundtrack,"463,761 saves",KULTPOP!,https://open.spotify.com/user/ikd5w5sgnw6dbvzb3vfaycex8
https://open.spotify.com/playlist/4OrLCnci10VO8DlSQ7VK5d,Morning Coffee,"140,808 saves",QRTR,https://open.spotify.com/user/qrtr
https://open.spotify.com/playlist/5fPDWsuu7rjLdrfLkJP0mm,Best Acoustic Covers,"9,272 saves",Alessio Ansini,https://open.spotify.com/user/anzinen
https://open.spotify.com/playlist/37i9dQZF1DX5qwHeIGQ14o,Chilled Afternoon,"197,098 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7Mcg7fPQaM2e5SIIRrVWeZ,forest fairy vibes 🧝‍♀️ 🌳 🌿,"91,584 saves",Danai,https://open.spotify.com/user/21nqzehjeekdanusfpc52ssry
https://open.spotify.com/playlist/37i9dQZF1DX42c5TkSUfEb,Au calme,"767,985 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2O18dCV9uoGTyxN5HLJkTo,twilight songs - in order of appearance,"226,551 saves",isabelle 🍂,https://open.spotify.com/user/livthfa49q7opximeum9dwwox
https://open.spotify.com/playlist/12vj6nTcnOnc6qdrr6R6Xj,Crepúsculo - músicas da saga,"81,843 saves",Mariana Henrique,https://open.spotify.com/user/22txppdfmiqzdntxjcvlcfywa
https://open.spotify.com/playlist/3tVWNtaJpCKHlQuElSZALa,crepúsculo soundtrack,"9,679 saves",helena almeida,https://open.spotify.com/user/is9bei7psmv6do9b9ht1nmfa1
https://open.spotify.com/playlist/5sMfgeII8qGOwcgxfqqDaM,Relax In the Bath,"84,574 saves",Matt Johnson,https://open.spotify.com/user/117687144
https://open.spotify.com/playlist/6bZZjVMaDsWcNJJt9onSeR,Calm Mornings,"49,928 saves",7 Layers,https://open.spotify.com/user/7-layers
https://open.spotify.com/playlist/32uUQ3IV4pppRtsQKcJhPs,MUSICA SOTTOFONDO,"8,323 saves",Federicamasella,https://open.spotify.com/user/k8fqvx3sbhjrwfzfzu10ojug7
https://open.spotify.com/playlist/1LGyyzhFXmPyrcBpokBW2L,soft summer evening,"2,401 saves",ghoufrant,https://open.spotify.com/user/ghoufrant
https://open.spotify.com/playlist/37i9dQZF1DZ06evO2ycWiY,This Is Claptone,"93,887 saves""url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DZ06evO3Tm2ec,This Is SYML,""52,308 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/5DVUEqRL1EV8I9n65eBaAw,sad songs to cry out to 😭,"171,208 saves",vicky's world <3,https://open.spotify.com/user/vvk188m7ueif0ygf6p9nv7bh0
https://open.spotify.com/playlist/37i9dQZF1DXcgZcN2HVMoe,Morning Coffee,"341,276 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4OrLCnci10VO8DlSQ7VK5d,Morning Coffee,"140,808 saves",QRTR,https://open.spotify.com/user/qrtr
https://open.spotify.com/playlist/37i9dQZF1DXa1BeMIGX5Du,Coffee + Chill,"563,777 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2ZnAWYy4AOs8tpRUCGF6Py,Sad playlist to cry to at 3am 🌃,"28,303 saves",RP,https://open.spotify.com/user/3xin07wp5zh4ip27t2qjqe1uq
https://open.spotify.com/playlist/37i9dQZF1DXbfDwyMAX9yi,Maxton Hall Official Playlist,"66,491 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3ouiqEz27UyPllucZ5SkYF,SYML Complete Collection,"28,557 saves",SYML,https://open.spotify.com/user/1228291609
https://open.spotify.com/playlist/4uf0gphPVNtk4Uu0bxtdGA,Acoustic Covers 2024 (Top 100),"303,304 saves",Unplugged,https://open.spotify.com/user/312avoycbyo353bvbqm2mpdnghjy
https://open.spotify.com/playlist/7dH5BChboIDJ9Zp5IUk18E,Starbucks Coffeehouse - acoustic coffeehouse,"16,211 saves",your own kind of music,https://open.spotify.com/user/marinuz
https://open.spotify.com/playlist/37i9dQZF1DX0611i4oGheJ,Soft & Slow,"454,455 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/3pEZVRJQYIHjhDuYsMsU3b,sleep🫀,"18,227 saves",AJ,https://open.spotify.com/user/31evv4g2cr33u5jna6n4j3aqsqua
https://open.spotify.com/playlist/0J6Ghsh3mEuNgGh2wRFgHw,Music for Studying / Reading,"37,061 saves",pborsack,https://open.spotify.com/user/1hke4ahkefsto5ohyx8yx0846
https://open.spotify.com/playlist/1XE7rQIGl1NFtWEAfwn4b9,Calm songs but sad but comforting 🎀,"96,742 saves",Milou <3,https://open.spotify.com/user/urfodtkfno5m8ydeurmo4l855
https://open.spotify.com/playlist/37i9dQZF1DWSWyJydK4fTU,Top of the Morning,"640,799 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0VXpTUM9F0Wi3Uvn7hhOzL,autumn vibes,"27,923 saves",leane,https://open.spotify.com/user/r15106ffqi630arbfmowyfj76
https://open.spotify.com/playlist/1GCwWBoHpUv0pKNmMGQkcd,Best Of: SYML,"1,022 saves",kerry-188,https://open.spotify.com/user/kerry-188
https://open.spotify.com/playlist/37i9dQZF1DX0X277P8nU0l,Café Croissant,"220,232 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWYPwGkJoztcR,'t Koffiehuis,"379,620 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2reT6fDGNUKdfRPAmJo1gG,Pra ACALMAR a mente & o coração 💙,"11,444 saves",Nathalie Miranda,https://open.spotify.com/user/nah_mr
https://open.spotify.com/playlist/3bZTQGrvewbkJJe6UpTFKc,studying like rory gilmore,"125,991 saves",rita💌,https://open.spotify.com/user/ppb0hftcyum1goii8gdfrnb5y
https://open.spotify.com/playlist/2KSerK9MsvOEJ34qXpp2Ws,romanticizing studying (classical playlist),"18,309 saves",Aemeralds,https://open.spotify.com/user/31vjwquron2hqxxriajo4pmtb2qi
https://open.spotify.com/playlist/3KCggLMweRH05Qqu9usoeN,the best of lana del rey,"194,883 saves",julia hardy,https://open.spotify.com/user/esd0yr989khfmp4j9pbnt5eor
https://open.spotify.com/playlist/6gmDVEzTtyoaezXbCJEbi2,✨ Acotar Ambience ✨,"48,479 saves",jasmineemilyw,https://open.spotify.com/user/jazzwalklate2461
https://open.spotify.com/playlist/2UJd3dltnIGkMqhAbQSkbS,Restaurant Music 2024,"66,316 saves",Cooking Music,https://open.spotify.com/user/jc415
https://open.spotify.com/playlist/7GqSHl9oy2iLF1vv7ACaGh,No Lyrics Chill Songs,"17,414 saves",palumpo records,https://open.spotify.com/user/icgcn2scdyxw554pvmf46dxt8
https://open.spotify.com/playlist/5cwPclg5ZtafoBPWgZMHMb,classical music to study or sleep to,"230,636 saves",Aemeralds,https://open.spotify.com/user/31vjwquron2hqxxriajo4pmtb2qi
https://open.spotify.com/playlist/6zl4g0bQfX3mVFkTWwqDzS,Música Para Ler 2024,"71,886 saves",Pixel Aesthetic,https://open.spotify.com/user/6dqvlqmclsvmfnkjtl3zfs4xj
https://open.spotify.com/playlist/37i9dQZF1DXaUDcU6KDCj4,Fresh Folk,"806,224 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/1zunq9gfybWXOU4Eqg5jiP,comfort songs to sleep,"19,274 saves""url,playlistName,saves
https://open.spotify.com/playlist/2X6RX8A4p8GXvrBvO6NTxb,""Gitar Şarkıları - Akustik Gitarlı Şarkılar, Arka Plan Sakin Akustik Melodiler, Akustik En İyiler",gigi🪐,https://open.spotify.com/user/w3845966arb20vuncayfwapeg
https://open.spotify.com/playlist/32Qh01jGMSGxLvhZpzqH97,Sauna opgieting Chill,"1,513 saves""url,playlistName,saves
https://open.spotify.com/playlist/2TwygCUmV9hogNFqZZ4to2,Wake Up Happy ☀️ Good Morning,""118,948 saves",Daniel Schurink,https://open.spotify.com/user/q2ytcazl3ptqvbr3wew0d914g
https://open.spotify.com/playlist/37i9dQZF1DWZpGSuzrdTXg,Easy On Sunday,"267,295 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/2wL3L0LtLOt64Et7FrDV98,Salon Music 2024 🌸 Chill Hits,"7,709 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/11nSleISOWGLboWVWPDuwB,Café Music 2024 ☕ Chill Vibes - Coffee Lounge,"521,805 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/3FC307HaeiUpZ2w2s4rBcW,Bar Chill Lounge Music 2024 🍷 Background Music,"21,722 saves",Horeca Playlists,https://open.spotify.com/user/6wokozpgd80fkm1gcbq6srial
https://open.spotify.com/playlist/0MmJin2lNE7CAUE8UAQSnM,Coffee Lounge 2024 ☕ Café Music ☕ Koffie Chill ☕ Kaffee Musik,"38,053 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/345eEKyGNyluygzMsS1n1H,Restaurant Lounge Music 2024 🍸 Background Music 🍸 Dinner Chill,"30,652 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/6t4XMML2P1JiusJZ68gMPS,Apero Time 2024 🍹 Aperitif 🍹 Aperitivo,"21,510 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/5ODAwlEw1xuk2k1fpvsTAY,Covers & Chill 2024 ☀️ 🌴 Lounge Covers To Relax,"28,470 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/0qhGMHfC3VLOtVHJbIxkdI,Beauty & Hair Salon 💅🏼 Chillout & Lounge Music,"8,610 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/7EoECW7Ug1sDfPiuuY5Gka,Office Chill 2024 💻 Work Playlist,"14,965 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/55oLHhh8BFCbLqOlRHhziV,Cocktail Bar Lounge 2024 🍹 Apero Time,"11,866 saves",Cocktail Bar Lounge,https://open.spotify.com/user/mw0q8t8whjeqqyp4r75hku107
https://open.spotify.com/playlist/39SmBUW3agbfD2upEFgyet,,"295,695 saves",undefined,
https://open.spotify.com/playlist/5tUfDmB6CpTei1SDqv1gyO,Lounge 2024 🍹 (Bar & Restaurant),"13,503 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/35EN37472tayZcnOnmILSX,Reels Songs 2024 Instagram Viral Hits,"72,408 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/0vcNICy53a4tMJE6tUIQvE,Chill Lounge 2024 🌴,"12,692 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/0l0a4uSRYz0VWnt38VAEzR,Roadtrip Music Hits 2024 🚗 Car Songs,"343,617 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/39MKCc2G3i6S4utBZUuJqF,Lounge Café Music 2024 ☕,"105,968 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/1LLlVPAAh9jbdKhPurMVkL,Afterwork Music 2024 🍹,"18,104 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/0bjJHQh5Vd3ko386LsCUk5,Morning Music ☕ Chillout Vibes - Coffee Lounge,"194,564 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/5QVQpZTgP7VihQcocSY8Hl,Buenos Días ☕️ Mañanas Motivadas,"114,693 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/5MRPm95iY1mggjuY9g21hW,Cena Con Amigos🍷 Música De Lounge,"5,741 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/2JOUyx6QT9R3O1gjMuv0kO,Weekend Chill 2024 - Lazy Day,"33,542 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/4jk1FbWL0XZthtdNuuR3YW,Lounge Music 2024 🍹 Chillout Vibes,"275,318 saves",LoudKult,https://open.spotify.com/user/43xzlwfo0tft7hn5r5e6dksrd
https://open.spotify.com/playlist/5R6VvHnqJLzgYGifki3TbS,TikTok Hits (feat. The Kid Laroi),"39,335 saves",Edge Media,https://open.spotify.com/user/31af4hikh6doar47fmaxfhmtotzy
https://open.spotify.com/playlist/5HqHpMCDXP4skNglWJSU0o,Salón 2024 🌸 Música Chill para Salón,"2,570 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/5UjL3otSbXqrm8Ezholgje,Morning Chill 2024 ☕️ Wake Up Relax,"115,002 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/1AulHc47qhf3SFkZlprH7S,Restaurant Music 2024 🍷,"4,161 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/5xev70TZD87fzb1gJvFX6k,Hintergrundmusik 🍹 Chill Lounge,"3,180 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/3RIw9H4J6unRNB0OTg4HgN,Restaurant Lounge Music 2024 🍸Background Music,"6,637 saves",Horeca Playlists,https://open.spotify.com/user/6wokozpgd80fkm1gcbq6srial
https://open.spotify.com/playlist/4oZ9HQRYExNPcu0Rcjj5Dx,Salon Lounge ✂️,"1,657 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/5mmARU6EJ5ib4uHYuhMPDI,Spring Vibes 2024 🌸 Chill Music,"9,058 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/25pIAHFzIssW1hTfz4La6M,Summer Relax 2024 🌴 Sunny Day,"1,610 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/6eFhGv2xZ85pTXAwvJfe4T,Restaurante 🍷 Música De Lounge,"4,582 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/3KN1pKnn1fO5JKEBRtcbzL,Hotel Lounge 2024 🛎️ Background Music,"5,133 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/51DDnsjn1Vc4vUPLj47CME,BBQ Music 2024 🍹 Summer Vibes,"4,027 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/2V6eEqgzsI6qqfPxKUMyyb,Salon Music 💇🏼‍♀️ Best Hits 2024,"2,036 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/0n0UTPIIaiGN6Xj8zqEkkv,Spicy booktok vibes 🌶️🌶️📚,"33,399 saves",Jess,https://open.spotify.com/user/jessaddario
https://open.spotify.com/playlist/49ygIjL62ng3Z0S7EUjoIc,Pizzeria Lounge Music 🍕,"1,414 saves""url,playlistName,saves
https://open.spotify.com/playlist/37i9dQZF1DX5dJCW6dyCUe,Morning Tea,""187,744 saves",PARAÍSO,https://open.spotify.com/user/9farmipw0i9o1k4qcmvqg3dcv
https://open.spotify.com/playlist/37i9dQZF1DWYPwGkJoztcR,'t Koffiehuis,"379,620 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/7dH5BChboIDJ9Zp5IUk18E,Starbucks Coffeehouse - acoustic coffeehouse,"16,212 saves",your own kind of music,https://open.spotify.com/user/marinuz
https://open.spotify.com/playlist/37i9dQZF1DX4je779Ww5L2,Acoustic Summer,"192,885 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX79N7YUDFu8f,Easy On Saturday,"112,651 saves",Spotify,https://open.spotify.com/user/spotify
